Info 0    [11:53:22.206] Starting TS Server
Info 1    [11:53:22.383] Version: 4.5.4
Info 2    [11:53:22.383] Arguments: /usr/bin/node /home/xanadu/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/xanadu/url-shortner/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/047558bcbcdb90bee45a8470c79937d5/tscancellation*
Info 3    [11:53:22.383] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [11:53:22.383] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [11:53:22.474] Format host information updated
Info 6    [11:53:22.479] Search path: /home/xanadu/url-shortner/panel/src/linkcreate
Info 7    [11:53:22.482] For info: /home/xanadu/url-shortner/panel/src/linkcreate/index.js :: No config files found.
Info 8    [11:53:22.486] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [11:55:16.345] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 113858.40131400013ms
Info 10   [11:55:16.345] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [11:55:16.345] 	Files (166)

Info 12   [11:55:16.345] -----------------------------------------------
Info 13   [11:55:16.697] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [11:55:16.712] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 15.282930999994278ms
Info 15   [11:55:16.712] Different program with same set of files
Info 16   [11:55:16.715] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [11:55:16.742] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 27.584050999954343ms
Info 18   [11:55:16.742] Different program with same set of files
Info 19   [11:55:16.826] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [11:55:16.839] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 12.329668000107631ms
Info 21   [11:55:16.839] Different program with same set of files
Info 22   [11:55:16.844] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [11:55:16.860] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 16.26577499997802ms
Info 24   [11:55:16.860] Different program with same set of files
Info 25   [11:55:16.864] getCompletionData: Get current token: 0.028209999902173877
Info 26   [11:55:16.864] getCompletionData: Is inside comment: 0.06159899989143014
Info 27   [11:55:16.864] getCompletionData: Get previous token: 0.05347899999469519
Info 28   [11:55:16.865] getCompletionsAtPosition: isCompletionListBlocker: 0.21707699983380735
Info 29   [11:55:16.894] getExportInfoMap: cache miss or empty; calculating new results
Info 30   [11:55:16.975] getExportInfoMap: done in 101.21192799997516 ms
Info 31   [11:55:17.045] collectAutoImports: resolved 3 module specifiers, plus 0 ambient and -20 from cache
Info 32   [11:55:17.045] collectAutoImports: response is complete
Info 33   [11:55:17.045] collectAutoImports: 44.59171300008893
Info 34   [11:55:17.045] getCompletionData: Semantic work: 180.44659600011073
Info 35   [11:55:17.088] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 22.147178000072017
Info 36   [11:55:17.098] getCompletionData: Get current token: 0.024338999995961785
Info 37   [11:55:17.099] getCompletionData: Is inside comment: 0.04869000008329749
Info 38   [11:55:17.099] getCompletionData: Get previous token: 0.04377999994903803
Info 39   [11:55:17.099] getCompletionsAtPosition: isCompletionListBlocker: 0.004200000083073974
Info 40   [11:55:17.119] getExportInfoMap: cache hit
Info 41   [11:55:17.161] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 42   [11:55:17.161] collectAutoImports: response is complete
Info 43   [11:55:17.161] collectAutoImports: 28.546113000018522
Info 44   [11:55:17.161] getCompletionData: Semantic work: 62.09587700013071
Info 45   [11:55:17.175] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.075729999924079
Info 46   [11:55:17.180] getCompletionData: Get current token: 0.024418999906629324
Info 47   [11:55:17.180] getCompletionData: Is inside comment: 0.048158999998122454
Info 48   [11:55:17.180] getCompletionData: Get previous token: 0.04198900004848838
Info 49   [11:55:17.180] getCompletionsAtPosition: isCompletionListBlocker: 0.003939999965950847
Info 50   [11:55:17.193] getExportInfoMap: cache hit
Info 51   [11:55:17.233] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 39 from cache
Info 52   [11:55:17.233] collectAutoImports: response is complete
Info 53   [11:55:17.233] collectAutoImports: 26.25453200004995
Info 54   [11:55:17.233] getCompletionData: Semantic work: 52.61470099980943
Info 55   [11:55:17.250] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.14589999988675
Info 56   [11:55:17.256] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [11:55:17.270] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 13.727595000062138ms
Info 58   [11:55:17.270] Different program with same set of files
Info 59   [11:55:17.299] getCompletionData: Get current token: 0.024720000103116035
Info 60   [11:55:17.299] getCompletionData: Is inside comment: 0.04521000012755394
Info 61   [11:55:17.299] getCompletionData: Get previous token: 0.0796989998780191
Info 62   [11:55:17.299] getCompletionsAtPosition: isCompletionListBlocker: 0.004359999904409051
Info 63   [11:55:17.315] getExportInfoMap: cache hit
Info 64   [11:55:17.345] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 65   [11:55:17.345] collectAutoImports: response is complete
Info 66   [11:55:17.345] collectAutoImports: 16.11073700012639
Info 67   [11:55:17.345] getCompletionData: Semantic work: 45.23882099986076
Info 68   [11:55:17.360] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.263047999935225
Info 69   [11:55:17.364] getCompletionData: Get current token: 0.02431999985128641
Info 70   [11:55:17.364] getCompletionData: Is inside comment: 0.05220900010317564
Info 71   [11:55:17.365] getCompletionData: Get previous token: 0.07749900012277067
Info 72   [11:55:17.365] getCompletionsAtPosition: isCompletionListBlocker: 0.00534999999217689
Info 73   [11:55:17.379] getExportInfoMap: cache hit
Info 74   [11:55:17.394] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 75   [11:55:17.394] collectAutoImports: response is complete
Info 76   [11:55:17.394] collectAutoImports: 4.480635999934748
Info 77   [11:55:17.394] getCompletionData: Semantic work: 29.098824999993667
Info 78   [11:55:17.410] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13.461660000029951
Info 79   [11:55:17.413] getCompletionData: Get current token: 0.024689999874681234
Info 80   [11:55:17.413] getCompletionData: Is inside comment: 0.0505490000359714
Info 81   [11:55:17.413] getCompletionData: Get previous token: 0.07941899984143674
Info 82   [11:55:17.413] getCompletionsAtPosition: isCompletionListBlocker: 0.004579999949783087
Info 83   [11:55:17.431] getExportInfoMap: cache hit
Info 84   [11:55:17.446] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 5 from cache
Info 85   [11:55:17.446] collectAutoImports: response is complete
Info 86   [11:55:17.446] collectAutoImports: 4.549675999907777
Info 87   [11:55:17.446] getCompletionData: Semantic work: 32.93004299979657
Info 88   [11:55:17.455] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.259040999924764
Info 89   [11:55:17.458] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [11:55:17.468] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 9.433846000116318ms
